PLAYER,TEAM_SH,G,GS,MP,TRB,AST,STL,BLK,PS/G,GP,W,L,NETRTG,TS%,PIE,MPG,RPM,WINS,pageviews,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT,POSITION,TEAM,SALARY,AVG,PCT
Russell Westbrook,OKC,81,81,34.6,10.7,10.4,1.6,0.4,31.6,81,46,35,3.3,55.4,23.0,34.6,6.27,17.34,2367.837,2130.5,559.0,PG,Oklahoma City Thunder,26500000.0,18203,100.0
James Harden,HOU,81,81,36.4,8.1,11.2,1.5,0.5,29.1,81,54,27,6.3,61.3,19.0,36.4,4.81,15.54,1337.869,969.0,321.5,PG,Houston Rockets,26500000.0,16973,94.1
Damian Lillard,POR,75,75,35.9,4.9,5.9,0.9,0.3,27.0,75,38,37,1.2,58.6,15.9,35.9,3.14,10.72,926.756,186.5,43.0, PG,Portland Trail Blazers,24328425.0,19317,99.4
LeBron James,CLE,74,74,37.8,8.6,8.7,1.2,0.6,26.4,74,51,23,7.7,61.9,18.3,37.8,8.42,20.43,8823.785,5533.5,1501.5, SF,Cleveland Cavaliers,30963450.0,20562,100.0
Kyrie Irving,CLE,72,72,35.1,3.2,5.8,1.2,0.3,25.2,72,47,25,5.1,58.0,13.5,35.1,2.05,8.28,3022.758,1541.0,695.0, PG,Cleveland Cavaliers,17638063.0,20562,100.0
Karl-Anthony Towns,MIN,82,82,37.0,12.3,2.7,0.7,1.3,25.1,82,31,51,-0.9,61.8,17.1,37.0,2.13,10.0,920.783,0.0,105.0, C,Minnesota Timberwolves,5960160.0,14809,76.5
Jimmy Butler,CHI,76,75,37.0,6.2,5.5,1.9,0.4,23.9,76,40,36,3.0,58.6,16.4,37.0,6.62,17.35,21.7,89.5,30.0, SG,Chicago Bulls,17552209.0,21680,103.6
Paul George,IND,75,75,35.9,6.6,3.3,1.6,0.4,23.7,75,39,36,2.9,58.7,13.6,35.9,2.58,9.72,769.595,228.5,128.0, SF,Indiana Pacers,18314532.0,16697,91.9
Andrew Wiggins,MIN,82,82,37.2,4.0,2.3,1.0,0.4,23.6,82,31,51,-0.5,53.4,9.5,37.2,-1.6,2.94,786.978,182.0,54.5, SG,Minnesota Timberwolves,6006600.0,14809,76.5
Mike Conley,MEM,69,68,33.2,3.5,6.3,1.3,0.3,20.5,69,35,34,3.1,60.4,16.0,33.2,4.47,10.5,5.111,257.5,90.0, PG,Memphis Grizzlies,26540100.0,16519,91.2
Goran Dragic,MIA,73,73,33.7,3.8,5.8,1.2,0.2,20.3,73,40,33,0.6,57.5,13.0,33.7,0.92,6.3,8.239,62.5,45.0, PG,Miami Heat,15891725.0,19643,100.2
Joel Embiid,PHI,31,31,25.4,7.8,2.1,0.9,2.5,20.2,31,13,18,3.2,58.4,17.4,25.4,1.7,2.46,682.937,6852.5,2941.0, C,Philadelphia 76ers,4826160.0,17330,85.3
Jabari Parker,MIL,51,50,33.9,6.2,2.8,1.0,0.4,20.1,51,22,29,-2.5,56.3,12.1,33.9,-0.78,2.59,353.413,267.0,125.0, PF,Milwaukee Bucks,5374320.0,15828,84.6
Marc Gasol,MEM,74,74,34.2,6.3,4.6,0.9,1.3,19.5,74,40,34,1.4,55.4,15.1,34.2,2.58,8.69,378.529,0.0,75.5, C,Memphis Grizzlies,21165675.0,16519,91.2
Kevin Love,CLE,60,60,31.4,11.1,1.9,0.9,0.4,19.0,60,40,20,7.2,57.3,14.8,31.4,5.03,9.76,1418.113,866.5,194.5, PF,Cleveland Cavaliers,21165675.0,20562,100.0
Zach LaVine,MIN,47,47,37.2,3.4,3.0,0.9,0.2,18.9,47,16,31,-3.6,57.6,9.5,37.2,-2.97,0.17,848.226,178.5,67.0, PG,Minnesota Timberwolves,2240880.0,14809,76.5
Dwyane Wade,CHI,60,59,29.9,4.5,3.8,1.4,0.7,18.3,60,29,31,-2.4,50.8,12.1,29.9,-0.91,2.52,2694.345,349.5,149.5, SG,Chicago Bulls,23200000.0,21680,103.6
Danilo Gallinari,DEN,63,63,33.9,5.2,2.1,0.6,0.2,18.2,63,31,32,2.7,62.2,11.4,33.9,2.88,8.39,155.862,29.0,6.0, SF,Denver Nuggets,15050000.0,14770,77.1
Paul Millsap,ATL,69,67,34.0,7.7,3.7,1.3,0.9,18.1,69,40,29,2.0,54.2,12.6,34.0,4.58,11.51,221.887,60.0,32.0, PF,Atlanta Hawks,20072033.0,15958,85.2
Dennis Schroder,ATL,79,78,31.5,3.1,6.3,0.9,0.2,17.9,79,42,37,-2.0,53.3,11.7,31.5,-2.45,1.07,1.233,51.5,20.0, PG,Atlanta Hawks,2708582.0,15958,85.2
Evan Fournier,ORL,68,66,32.9,3.1,3.0,1.0,0.1,17.2,68,23,45,-4.9,55.5,8.5,32.9,-1.1,2.89,125.612,21.0,10.0, SG,Orlando Magic,17000000.0,17753,94.2
Nikola Jokic,DEN,73,59,27.9,9.8,4.9,0.8,0.8,16.7,73,37,36,5.1,64.0,16.7,27.9,6.73,13.18,3.95,0.0,1.0, C,Denver Nuggets,1358500.0,14770,77.1
Eric Gordon,HOU,75,15,31.0,2.7,2.5,0.6,0.5,16.2,75,50,25,6.2,55.7,8.2,31.0,1.03,6.36,206.977,55.0,26.0, SG,Houston Rockets,12385364.0,16973,94.1
Tobias Harris,DET,82,48,31.3,5.1,1.7,0.7,0.5,16.1,82,37,45,-1.3,56.8,11.3,31.3,0.94,6.55,207.311,2.0,4.0, SF,Detroit Pistons,17200000.0,15979,72.4
Victor Oladipo,OKC,67,67,33.2,4.3,2.6,1.2,0.3,15.9,67,39,28,2.5,53.4,9.5,33.2,1.66,6.88,468.359,78.0,28.0, SG,Oklahoma City Thunder,6552961.0,18203,100.0
Dion Waiters,MIA,46,43,30.1,3.3,4.3,0.9,0.4,15.8,46,27,19,2.8,50.7,10.0,30.1,0.05,2.8,353.063,0.0,7.0, SG,Miami Heat,2898000.0,19643,100.2
Wilson Chandler,DEN,71,33,30.9,6.5,2.0,0.7,0.4,15.7,71,35,36,-1.7,54.5,9.8,30.9,-1.24,2.69,77.575,31.5,18.5, SF,Denver Nuggets,11233146.0,14770,77.1
D'Angelo Russell,LAL,63,60,28.7,3.5,4.8,1.4,0.3,15.6,63,21,42,-8.7,51.8,9.9,28.7,-1.7,1.69,769.891,0.0,232.0, PG,Los Angeles Lakers,5332800.0,18949,99.4
Jeff Teague,IND,82,82,32.4,4.0,7.8,1.2,0.4,15.3,82,42,40,1.2,57.4,13.1,32.4,1.64,8.08,6.856,17.5,13.5, PG,Indiana Pacers,8800000.0,16697,91.9
Gary Harris,DEN,57,56,31.3,3.1,2.9,1.2,0.1,14.9,57,29,28,1.0,61.1,9.1,31.3,0.51,4.29,80.128,6.0,2.5, SG,Denver Nuggets,1655880.0,14770,77.1
Jordan Clarkson,LAL,82,19,29.2,3.0,2.6,1.1,0.1,14.7,82,26,56,-8.9,52.6,8.4,29.2,-4.02,-1.4,748.841,55.5,179.5, PG,Los Angeles Lakers,12500000.0,18949,99.4
Khris Middleton,MIL,29,23,30.7,4.2,3.4,1.4,0.2,14.7,29,19,10,5.7,57.0,10.4,30.7,1.4,2.44,121.22,16.0,9.0, SG,Milwaukee Bucks,15200000.0,15828,84.6
