PLAYER,TEAM_SH,G,GS,MP,TRB,AST,STL,BLK,PS/G,GP,W,L,NETRTG,TS%,PIE,MPG,RPM,WINS,pageviews,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT,TEAM,SALARY,AVG,PCT
Kris Humphries,ATL,56,4,12.3,3.7,0.5,0.3,0.4,4.6,56,31,25,-4.4,51.4,10.5,12.3,-1.89,0.54,1235.839,67.0,9.0,Atlanta Hawks,4000000.0,15958.0,85.2
DeAndre' Bembry,ATL,38,1,9.8,1.6,0.7,0.2,0.1,2.7,38,20,18,-3.4,48.1,7.2,9.8,-3.39,-0.05,34.889,0.0,0.0,Atlanta Hawks,1499760.0,15958.0,85.2
Thabo Sefolosha,ATL,62,42,25.7,4.4,1.7,1.5,0.5,7.2,62,32,30,-0.5,51.9,8.6,25.7,0.34,3.55,151.367,28.5,17.5,Atlanta Hawks,3850000.0,15958.0,85.2
Ryan Kelly,ATL,16,0,6.9,1.1,0.5,0.3,0.3,1.6,16,6,10,2.6,40.8,7.3,6.9,-0.49,0.08,10.16,17.0,10.0,Atlanta Hawks,1577230.0,15958.0,85.2
Dennis Schroder,ATL,79,78,31.5,3.1,6.3,0.9,0.2,17.9,79,42,37,-2.0,53.3,11.7,31.5,-2.45,1.07,1.233,51.5,20.0,Atlanta Hawks,2708582.0,15958.0,85.2
Dwight Howard,ATL,74,74,29.7,12.7,1.4,0.9,1.2,13.5,74,37,37,-2.0,62.7,15.1,29.7,0.9,5.65,1323.27,7.0,1.0,Atlanta Hawks,23180275.0,15958.0,85.2
Paul Millsap,ATL,69,67,34.0,7.7,3.7,1.3,0.9,18.1,69,40,29,2.0,54.2,12.6,34.0,4.58,11.51,221.887,60.0,32.0,Atlanta Hawks,20072033.0,15958.0,85.2
DeAndre' Bembry,ATL,38,1,9.8,1.6,0.7,0.2,0.1,2.7,38,20,18,-3.4,48.1,7.2,9.8,-3.39,-0.05,34.889,0.0,0.0,Atlanta Hawks,1567200.0,15958.0,85.2
Kent Bazemore,ATL,73,64,26.9,3.2,2.4,1.2,0.7,11.0,73,39,34,-2.3,50.4,7.4,26.9,-1.19,2.41,220.928,0.0,0.0,Atlanta Hawks,15730338.0,15958.0,85.2
Mike Muscala,ATL,70,3,17.7,3.4,1.4,0.4,0.6,6.2,70,36,34,-3.1,59.6,9.7,17.7,-0.38,2.11,356.07342944785296,0.0,0.0,Atlanta Hawks,2649557.0,15958.0,85.2
Lamar Patterson,ATL,5,0,8.0,1.4,1.2,0.2,0.0,1.8,5,1,4,16.8,27.6,-0.4,8.0,-1.61,0.03,36.143,4.0,4.0,Atlanta Hawks,246956.0,15958.0,85.2
Malcolm Delaney,ATL,73,2,17.1,1.7,2.6,0.5,0.0,5.4,73,37,36,2.2,45.6,6.4,17.1,-2.89,0.18,106.111,1.0,1.0,Atlanta Hawks,2500000.0,15958.0,85.2
Mike Scott,ATL,18,0,10.8,2.1,0.9,0.2,0.2,2.5,18,7,11,-8.5,36.0,5.8,10.8,-2.66,0.06,2.705,2.0,1.0,Atlanta Hawks,3333334.0,15958.0,85.2
Jaylen Brown,BOS,78,20,17.2,2.8,0.8,0.4,0.2,6.6,78,50,28,-2.2,53.9,7.1,17.2,-3.37,-0.21,308.763,0.0,100.0,Boston Celtics,4743000.0,18553.0,99.6
Gerald Green,BOS,47,0,11.4,1.8,0.7,0.2,0.1,5.6,47,32,15,1.3,52.4,8.1,11.4,-2.74,0.13,356.07342944785296,0.0,0.0,Boston Celtics,2649557.0,18553.0,99.6
Jordan Mickey,BOS,25,1,5.6,1.4,0.3,0.1,0.2,1.5,25,9,16,-17.1,47.3,6.0,5.6,-2.77,0.03,56.781,0.0,3.0,Boston Celtics,1471382.0,18553.0,99.6
Jonas Jerebko,BOS,78,6,15.8,3.5,0.9,0.3,0.2,3.8,78,51,27,3.2,53.7,6.9,15.8,-1.03,1.63,130.587,7.0,17.0,Boston Celtics,5000000.0,18553.0,99.6
Isaiah Thomas,BOS,76,76,33.8,2.7,5.9,0.9,0.2,28.9,76,51,25,5.0,62.5,16.1,33.8,1.83,8.19,356.07342944785296,0.0,0.0,Boston Celtics,2649557.0,18553.0,99.6
Demetrius Jackson,BOS,5,0,3.4,0.8,0.6,0.0,0.0,2.0,5,1,4,6.3,75.3,19.4,3.4,-2.07,0.01,75.052,0.0,0.0,Boston Celtics,1450000.0,18553.0,99.6
Al Horford,BOS,68,68,32.3,6.8,5.0,0.8,1.3,14.0,68,46,22,5.0,55.3,12.5,32.3,1.82,6.93,569.636,136.0,71.0,Boston Celtics,26540100.0,18553.0,99.6
Avery Bradley,BOS,55,55,33.4,6.1,2.2,1.2,0.2,16.3,55,34,21,1.2,54.8,9.9,33.4,-2.16,1.13,171.512,0.0,0.0,Boston Celtics,8269663.0,18553.0,99.6
Marcus Smart,BOS,79,24,30.4,3.9,4.6,1.6,0.4,10.6,79,51,28,2.5,48.6,8.1,30.4,0.75,5.98,194.047,1.0,9.0,Boston Celtics,3578880.0,18553.0,99.6
Tyler Zeller,BOS,51,5,10.3,2.4,0.8,0.1,0.4,3.5,51,32,19,0.2,50.8,8.5,10.3,-2.3,0.28,148.93,15.0,14.0,Boston Celtics,8000000.0,18553.0,99.6
Demetrius Jackson,BOS,5,0,3.4,0.8,0.6,0.0,0.0,2.0,5,1,4,6.3,75.3,19.4,3.4,-2.07,0.01,75.052,0.0,0.0,Boston Celtics,1384750.0,18553.0,99.6
James Young,BOS,29,0,7.6,0.9,0.1,0.3,0.1,2.3,29,16,13,-5.8,54.9,6.4,7.6,-2.16,0.14,4.97,0.0,12.0,Boston Celtics,1825200.0,18553.0,99.6
Kelly Olynyk,BOS,75,6,20.5,4.8,2.0,0.6,0.4,9.0,75,49,26,-0.4,60.3,11.0,20.5,0.5,3.54,191.661,56.5,16.0,Boston Celtics,3094014.0,18553.0,99.6
Jae Crowder,BOS,72,72,32.4,5.8,2.2,1.0,0.3,13.9,72,48,24,7.8,61.3,10.3,32.4,3.89,10.52,217.84,55.0,47.0,Boston Celtics,6286408.0,18553.0,99.6
Terry Rozier,BOS,74,0,17.1,3.1,1.8,0.6,0.1,5.5,74,47,27,-0.2,46.6,9.1,17.1,-1.06,1.65,97.465,2.0,6.0,Boston Celtics,1906440.0,18553.0,99.6
Amir Johnson,BOS,80,77,20.1,4.6,1.8,0.6,0.8,6.5,80,51,29,8.0,62.8,9.1,20.1,3.8,7.02,136.077,31.5,6.0,Boston Celtics,12000000.0,18553.0,99.6
Trevor Booker,BRK,71,43,24.7,8.0,1.9,1.1,0.4,10.0,71,18,53,-7.9,55.4,12.7,24.7,-0.29,3.3,80.971,16.5,8.0,Brooklyn Nets,9250000.0,15429.0,85.2
Luis Scola,BRK,36,1,12.8,3.9,1.0,0.4,0.1,5.1,36,7,29,-8.0,55.0,8.9,12.8,-1.09,0.62,249.48,16.0,60.0,Brooklyn Nets,5500000.0,15429.0,85.2
Isaiah Whitehead,BRK,73,26,22.5,2.5,2.6,0.6,0.5,7.4,73,17,56,-2.9,48.7,5.2,22.5,-3.11,0.02,356.07342944785296,0.0,0.0,Brooklyn Nets,2649557.0,15429.0,85.2
Caris LeVert,BRK,57,26,21.7,3.3,1.9,0.9,0.1,8.2,57,15,42,-2.7,55.6,8.6,21.7,-1.3,1.53,104.435,0.0,28.0,Brooklyn Nets,1562280.0,15429.0,85.2
Rondae Hollis-Jefferson,BRK,78,50,22.6,5.8,2.0,1.1,0.6,8.7,78,19,59,-4.7,51.7,9.8,22.6,-0.38,3.29,80.986,0.0,0.0,Brooklyn Nets,1395600.0,15429.0,85.2
Joe Harris,BRK,52,11,21.9,2.8,1.0,0.6,0.2,8.2,52,10,42,-10.5,55.8,6.1,21.9,-4.19,-0.82,356.07342944785296,0.0,0.0,Brooklyn Nets,2649557.0,15429.0,85.2
